loc,mdate,SO2,CO,O3,NO2,PM10,PM25
632132,2016010101,0.004,0.6,0.023,0.015,47,38
632132,2016010102,0.004,0.6,0.024,0.015,51,43
632132,2016010103,0.004,0.6,0.024,0.014,52,44
632132,2016010104,0.003,0.6,0.024,0.013,45,38
632132,2016010105,0.004,0.6,0.025,0.013,43,37
632132,2016010106,0.004,0.6,0.025,0.013,40,32
632132,2016010107,0.003,0.6,0.024,0.014,33,27
632132,2016010108,0.003,0.5,0.023,0.014,35,28
632132,2016010109,0.004,0.5,0.025,0.013,37,26
632132,2016010110,0.003,0.5,0.023,0.014,33,21
632132,2016010111,0.003,0.5,0.029,0.01,36,28
632132,2016010112,0.003,0.4,0.032,0.008,25,19
632132,2016010113,0.003,0.5,0.033,0.008,29,18
632132,2016010114,0.004,0.5,0.033,0.01,33,19
632132,2016010115,0.004,0.5,0.033,0.011,38,31
632132,2016010116,0.003,0.5,0.033,0.012,42,28
632132,2016010117,0.004,0.5,0.033,0.011,NA,28
632132,2016010118,0.004,0.5,0.032,0.012,NA,29
632132,2016010119,0.004,0.5,0.032,0.012,48,33
632132,2016010120,0.003,0.5,0.031,0.01,43,32
632132,2016010121,0.003,0.6,0.03,0.011,68,30
632132,2016010122,0.003,0.5,0.03,0.011,73,46
632132,2016010123,0.003,0.5,0.031,0.01,51,42
632132,2016010124,0.004,0.5,0.032,0.008,50,36
632132,2016010201,0.004,0.5,0.035,0.007,43,31
632132,2016010202,0.003,0.5,0.036,0.006,41,32
632132,2016010203,0.003,0.5,0.037,0.006,37,29
632132,2016010204,0.004,0.5,0.038,0.006,33,25
632132,2016010205,0.003,0.5,0.039,0.006,35,22
632132,2016010206,0.004,0.5,0.039,0.006,35,22
632132,2016010207,0.003,0.5,0.038,0.007,35,25
632132,2016010208,0.003,0.5,0.034,0.009,34,26
632132,2016010209,0.003,0.5,0.034,0.01,41,22
632132,2016010210,0.003,0.5,0.034,0.01,37,28
632132,2016010211,0.004,0.5,0.035,0.01,41,29
632132,2016010212,0.003,0.5,0.036,0.009,41,23
632132,2016010213,0.003,0.5,0.037,0.007,40,19
632132,2016010214,0.003,0.5,0.038,0.007,57,24
632132,2016010215,0.003,0.5,0.039,0.007,58,25
632132,2016010216,0.003,0.5,0.04,0.007,47,27
632132,2016010217,0.003,0.5,0.039,0.009,43,27
632132,2016010218,0.003,0.5,0.036,0.011,43,27
632132,2016010219,0.004,0.6,0.034,0.013,48,33
632132,2016010220,0.003,0.6,0.034,0.013,53,41
632132,2016010221,0.003,0.6,0.031,0.015,57,41
632132,2016010222,0.004,0.6,0.035,0.011,57,45
632132,2016010223,0.004,0.6,0.037,0.01,53,45
632132,2016010224,0.004,0.6,0.041,0.007,52,40
632132,2016010301,0.006,0.8,0.034,0.014,47,35
632132,2016010302,0.006,0.7,0.037,0.011,49,40
632132,2016010303,0.004,0.6,0.041,0.007,49,39
632132,2016010304,0.003,0.6,0.042,0.006,47,36
632132,2016010305,0.004,0.6,0.041,0.007,48,34
632132,2016010306,0.004,0.6,0.042,0.007,43,34
632132,2016010307,0.005,0.6,0.038,0.009,45,38
632132,2016010308,0.006,0.7,0.036,0.012,47,42
632132,2016010309,0.005,0.6,0.036,0.012,51,36
632132,2016010310,0.006,0.7,0.038,0.011,51,41
632132,2016010311,0.007,0.6,0.041,0.011,56,37
632132,2016010312,0.007,0.6,0.044,0.01,65,46
632132,2016010313,0.007,0.6,0.046,0.01,65,45
632132,2016010314,0.005,0.6,0.046,0.013,70,46
632132,2016010315,0.005,0.7,0.045,0.015,75,49
632132,2016010316,0.005,0.7,0.046,0.013,80,59
632132,2016010317,0.006,0.8,0.039,0.017,92,62
632132,2016010318,0.009,1.2,0.037,0.019,104,68
632132,2016010319,0.012,1.2,0.034,0.021,117,81
632132,2016010320,0.007,1,0.024,0.026,121,86
632132,2016010321,0.005,0.9,0.024,0.02,119,87
632132,2016010322,0.006,0.7,0.033,0.014,94,72
632132,2016010323,0.006,0.7,0.043,0.011,80,66
632132,2016010324,0.005,0.8,0.04,0.012,90,71
632132,2016010401,0.006,0.7,0.039,0.012,97,73
632132,2016010402,0.006,0.8,0.043,0.011,94,81
632132,2016010403,0.008,0.7,0.05,0.01,109,83
632132,2016010404,0.008,0.8,0.052,0.01,107,88
632132,2016010405,0.008,0.8,0.051,0.012,110,92
632132,2016010406,0.008,0.8,0.052,0.012,115,94
632132,2016010407,0.008,0.8,0.045,0.015,118,95
632132,2016010408,0.006,0.8,0.041,0.014,108,89
632132,2016010409,0.006,0.8,0.037,0.017,99,71
632132,2016010410,0.005,0.7,0.037,0.015,103,81
632132,2016010411,0.005,0.7,0.036,0.015,98,77
632132,2016010412,0.004,0.7,0.037,0.014,88,64
632132,2016010413,0.003,0.6,0.036,0.016,74,52
632132,2016010414,0.004,0.7,0.036,0.012,60,35
632132,2016010415,0.005,0.8,0.038,0.009,48,24
632132,2016010416,0.004,0.7,0.034,0.014,32,18
632132,2016010417,0.005,0.8,0.03,0.017,42,25
632132,2016010418,0.006,0.8,0.025,0.022,55,27
632132,2016010419,0.005,0.8,0.011,0.035,54,31
632132,2016010420,0.005,0.6,0.023,0.021,61,29
632132,2016010421,0.003,0.5,0.028,0.015,38,24
632132,2016010422,0.003,0.5,0.029,0.013,33,18
632132,2016010423,0.003,0.5,0.027,0.014,29,12
632132,2016010424,0.003,0.5,0.026,0.013,29,16
632132,2016010501,0.003,0.6,0.026,0.012,32,17
632132,2016010502,0.003,0.6,0.029,0.01,27,26
632132,2016010503,0.004,0.6,0.029,0.009,29,22
632132,2016010504,0.004,0.5,0.031,0.007,28,18
632132,2016010505,0.004,0.5,0.032,0.006,21,18
632132,2016010506,0.003,0.5,0.032,0.006,23,13
632132,2016010507,0.003,0.5,0.031,0.007,21,11
632132,2016010508,0.003,0.5,0.03,0.009,19,9
632132,2016010509,0.003,0.5,0.027,0.011,19,8
