"loc","mdate","SO2","CO","O3","NO2","PM10","PM25"
"111123",2018010101,0.006,0.4,0.022,0.021,29,17
"111123",2018010102,0.006,0.4,0.021,0.02,27,13
"111123",2018010103,0.006,0.5,0.016,0.027,30,13
"111123",2018010104,0.006,0.5,0.016,0.025,28,14
"111123",2018010105,0.006,0.5,0.016,0.024,28,15
"111123",2018010106,0.006,0.5,0.009,0.032,32,15
"111123",2018010107,0.006,0.6,0.007,0.034,29,16
"111123",2018010108,0.006,0.6,0.005,0.038,29,16
"111123",2018010109,0.005,0.7,0.005,0.041,31,16
"111123",2018010110,0.007,0.6,0.016,0.028,26,11
"111123",2018010111,0.007,0.5,0.027,0.016,31,16
"111123",2018010112,0.007,0.5,0.026,0.018,33,15
"111123",2018010113,0.007,0.4,0.029,0.014,30,14
"111123",2018010114,0.007,0.5,0.027,0.017,32,15
"111123",2018010115,0.008,0.5,0.026,0.021,41,21
"111123",2018010116,0.008,0.6,0.028,0.018,44,22
"111123",2018010117,0.008,0.6,0.023,0.024,44,24
"111123",2018010118,0.008,0.6,0.018,0.029,43,21
"111123",2018010119,0.009,0.6,0.014,0.034,38,18
"111123",2018010120,0.01,0.6,0.006,0.043,41,21
"111123",2018010121,0.009,0.7,0.003,0.048,41,23
"111123",2018010122,0.008,1.1,0.003,0.049,40,20
"111123",2018010123,0.009,1.1,0.002,0.052,39,20
"111123",2018010124,0.008,0.9,0.002,0.053,39,20
"111123",2018010201,0.008,1,0.002,0.055,42,22
"111123",2018010202,0.007,1.1,0.002,0.058,40,24
"111123",2018010203,0.007,1.4,0.002,0.068,42,28
"111123",2018010204,0.007,1.3,0.002,0.059,45,27
"111123",2018010205,0.007,1.3,0.002,0.056,45,30
"111123",2018010206,0.007,1.2,0.002,0.053,42,26
"111123",2018010207,0.007,1.3,0.002,0.058,46,27
"111123",2018010208,0.007,1.4,0.002,0.066,45,27
"111123",2018010209,0.007,1.8,0.002,0.073,45,31
"111123",2018010210,0.007,1.5,0.003,0.064,47,29
"111123",2018010211,0.008,1.1,0.007,0.047,45,28
"111123",2018010212,0.007,0.7,0.014,0.032,35,19
"111123",2018010213,0.007,0.6,0.02,0.025,29,20
"111123",2018010214,0.006,0.5,0.02,0.026,31,19
"111123",2018010215,0.007,0.5,0.022,0.023,28,18
"111123",2018010216,NA,NA,NA,NA,NA,NA
"111123",2018010217,NA,NA,NA,NA,NA,NA
"111123",2018010218,NA,NA,NA,NA,NA,NA
"111123",2018010219,0.006,0.4,0.017,0.029,26,12
"111123",2018010220,0.006,0.4,0.02,0.026,21,12
"111123",2018010221,0.006,0.4,0.019,0.022,19,11
"111123",2018010222,0.006,0.5,0.02,0.019,19,12
"111123",2018010223,0.006,0.5,0.016,0.023,22,16
"111123",2018010224,0.007,0.5,0.022,0.016,22,16
"111123",2018010301,0.007,0.5,0.023,0.014,26,20
"111123",2018010302,0.006,0.5,0.02,0.015,28,18
"111123",2018010303,0.006,0.5,0.021,0.014,28,19
"111123",2018010304,0.007,0.5,0.021,0.013,29,18
"111123",2018010305,0.006,0.5,0.021,0.014,32,18
"111123",2018010306,0.007,0.6,0.014,0.022,32,18
"111123",2018010307,0.007,0.6,0.006,0.032,33,22
"111123",2018010308,0.007,0.7,0.004,0.036,35,20
"111123",2018010309,0.007,0.7,0.004,0.035,35,20
"111123",2018010310,0.007,0.7,0.01,0.034,37,18
"111123",2018010311,0.008,0.5,0.015,0.023,35,19
"111123",2018010312,0.007,0.5,0.017,0.026,36,20
"111123",2018010313,0.007,0.5,0.021,0.02,33,18
"111123",2018010314,0.007,0.5,0.018,0.028,34,19
"111123",2018010315,0.007,0.5,0.02,0.028,34,18
"111123",2018010316,0.006,0.5,0.018,0.029,33,19
"111123",2018010317,0.006,0.5,0.018,0.03,31,20
"111123",2018010318,0.006,0.5,0.017,0.028,29,19
"111123",2018010319,0.006,0.5,0.011,0.034,28,20
"111123",2018010320,0.006,0.6,0.009,0.039,29,20
"111123",2018010321,0.006,0.6,0.012,0.034,28,19
"111123",2018010322,0.005,0.6,0.017,0.026,27,17
"111123",2018010323,0.006,0.5,0.02,0.02,27,17
"111123",2018010324,0.005,0.5,0.02,0.02,27,17
"111123",2018010401,0.006,0.5,0.019,0.021,30,17
"111123",2018010402,0.006,0.5,0.019,0.02,28,17
"111123",2018010403,0.006,0.5,0.021,0.018,31,18
"111123",2018010404,0.006,0.5,0.02,0.02,29,17
"111123",2018010405,0.006,0.5,0.024,0.015,32,18
"111123",2018010406,0.007,0.4,0.023,0.015,29,15
"111123",2018010407,0.006,0.4,0.017,0.022,30,18
"111123",2018010408,0.005,0.5,0.003,0.041,28,15
"111123",2018010409,0.007,0.8,0.004,0.045,30,19
"111123",2018010410,0.007,0.9,0.007,0.042,32,18
"111123",2018010411,0.007,0.7,0.012,0.035,33,19
"111123",2018010412,0.007,0.7,0.014,0.032,38,21
"111123",2018010413,0.006,0.8,0.013,0.036,40,25
"111123",2018010414,0.007,0.8,0.012,0.039,41,24
"111123",2018010415,0.007,0.8,0.01,0.042,43,28
"111123",2018010416,0.007,0.8,0.007,0.044,45,28
"111123",2018010417,0.007,0.9,0.004,0.051,47,30
"111123",2018010418,0.007,0.9,0.002,0.052,52,31
"111123",2018010419,0.007,0.9,0.002,0.052,55,36
"111123",2018010420,0.007,1,0.002,0.053,53,36
"111123",2018010421,0.007,1,0.002,0.053,51,35
"111123",2018010422,0.007,1.1,0.002,0.053,47,30
"111123",2018010423,0.006,1,0.002,0.049,47,30
"111123",2018010424,0.006,0.9,0.002,0.048,45,31
"111123",2018010501,0.006,0.9,0.002,0.051,47,33
"111123",2018010502,0.007,1,0.002,0.052,50,34
"111123",2018010503,0.007,0.9,0.002,0.049,56,37
"111123",2018010504,0.007,0.9,0.002,0.05,50,34
"111123",2018010505,0.006,0.9,0.002,0.05,51,35
"111123",2018010506,0.007,1,0.002,0.051,50,34
"111123",2018010507,0.006,0.9,0.002,0.048,51,37
"111123",2018010508,0.006,0.9,0.002,0.049,51,34
"111123",2018010509,0.007,1,0.002,0.054,52,36
"111123",2018010510,0.007,0.9,0.006,0.045,45,28
"111123",2018010511,0.008,0.8,0.008,0.045,42,31
"111123",2018010512,0.008,0.8,0.011,0.044,47,28
"111123",2018010513,0.009,0.8,0.009,0.053,54,37
"111123",2018010514,0.01,0.8,0.008,0.058,66,45
"111123",2018010515,0.01,0.8,0.009,0.055,76,53
"111123",2018010516,0.008,0.6,0.016,0.044,57,38
"111123",2018010517,0.007,0.6,0.018,0.034,43,25
"111123",2018010518,0.007,0.6,0.019,0.034,39,25
"111123",2018010519,0.006,0.7,0.014,0.04,40,26
"111123",2018010520,0.006,0.8,0.014,0.039,51,36
"111123",2018010521,0.006,0.8,0.005,0.052,51,41
"111123",2018010522,0.006,1,0.002,0.055,50,35
"111123",2018010523,0.006,1,0.002,0.055,49,32
"111123",2018010524,0.006,0.8,0.011,0.039,49,32
"111123",2018010601,0.006,0.6,0.027,0.019,44,31
"111123",2018010602,0.006,0.6,0.029,0.016,39,27
"111123",2018010603,0.006,0.6,0.027,0.018,36,28
"111123",2018010604,0.006,0.6,0.023,0.022,37,27
"111123",2018010605,0.006,0.6,0.02,0.024,37,30
"111123",2018010606,0.006,0.6,0.017,0.027,37,28
"111123",2018010607,0.006,0.6,0.015,0.027,34,27
"111123",2018010608,0.006,0.6,0.011,0.033,33,24
"111123",2018010609,0.006,0.7,0.007,0.039,33,24
"111123",2018010610,0.009,0.7,0.013,0.038,31,20
"111123",2018010611,0.009,0.7,0.02,0.029,35,26
"111123",2018010612,0.008,0.6,0.023,0.026,34,24
"111123",2018010613,0.008,0.7,0.019,0.032,41,29
"111123",2018010614,0.007,0.6,0.021,0.034,37,24
"111123",2018010615,0.008,0.6,0.021,0.034,38,31
"111123",2018010616,0.007,0.6,0.021,0.034,40,29
"111123",2018010617,0.007,0.6,0.017,0.04,39,27
"111123",2018010618,0.007,0.6,0.017,0.037,39,25
"111123",2018010619,0.006,0.7,0.011,0.045,35,26
"111123",2018010620,0.006,0.8,0.008,0.047,40,28
"111123",2018010621,0.007,0.9,0.003,0.055,42,30
"111123",2018010622,0.007,1,0.004,0.053,42,29
"111123",2018010623,0.006,0.8,0.006,0.049,40,32
"111123",2018010624,0.007,1,0.002,0.064,39,28
"111123",2018010701,0.007,1.3,0.002,0.068,47,34
"111123",2018010702,0.006,1.2,0.002,0.066,44,31
"111123",2018010703,0.006,1.3,0.002,0.059,43,34
"111123",2018010704,0.006,1.2,0.002,0.058,45,32
"111123",2018010705,0.006,1.3,0.002,0.057,44,34
"111123",2018010706,0.006,1.2,0.002,0.053,45,34
"111123",2018010707,0.006,1.2,0.002,0.052,44,32
"111123",2018010708,0.006,1.2,0.002,0.052,45,36
"111123",2018010709,0.006,1.2,0.003,0.051,46,36
"111123",2018010710,0.007,1.1,0.007,0.045,47,34
"111123",2018010711,0.006,0.7,0.015,0.035,41,30
"111123",2018010712,0.007,0.8,0.011,0.042,43,31
"111123",2018010713,0.007,0.9,0.008,0.049,51,38
"111123",2018010714,0.007,0.9,0.008,0.052,49,39
"111123",2018010715,0.007,0.8,0.009,0.049,53,40
"111123",2018010716,0.007,0.9,0.006,0.055,52,40
"111123",2018010717,0.007,0.8,0.006,0.05,53,39
"111123",2018010718,0.007,0.8,0.002,0.052,44,36
"111123",2018010719,0.006,0.8,0.002,0.052,47,37
"111123",2018010720,0.007,0.8,0.002,0.055,47,36
"111123",2018010721,0.007,0.9,0.002,0.058,53,40
"111123",2018010722,0.006,1,0.002,0.059,49,39
"111123",2018010723,0.007,1,0.002,0.062,50,40
"111123",2018010724,0.007,1.1,0.002,0.061,46,37
"111123",2018010801,0.007,1.1,0.002,0.065,48,40
"111123",2018010802,0.008,1.2,0.002,0.066,49,39
"111123",2018010803,0.007,1.2,0.002,0.059,54,43
"111123",2018010804,0.006,0.9,0.002,0.051,48,40
"111123",2018010805,0.007,1,0.002,0.055,49,43
"111123",2018010806,0.007,1,0.002,0.056,47,39
"111123",2018010807,0.008,0.9,0.002,0.055,47,34
"111123",2018010808,0.007,1.1,0.002,0.056,48,38
"111123",2018010809,0.008,1.2,0.002,0.063,53,41
"111123",2018010810,0.008,1.4,0.003,0.069,57,41
"111123",2018010811,0.008,1.3,0.003,0.06,61,47
"111123",2018010812,0.008,1,0.005,0.058,58,45
"111123",2018010813,0.008,0.9,0.006,0.056,57,42
"111123",2018010814,0.009,0.9,0.005,0.063,53,39
"111123",2018010815,0.01,0.9,0.005,0.072,60,46
"111123",2018010816,0.01,0.9,0.004,0.064,65,49
"111123",2018010817,0.007,0.7,0.004,0.056,47,31
"111123",2018010818,0.006,0.6,0.01,0.044,32,18
"111123",2018010819,0.006,0.6,0.008,0.043,30,20
"111123",2018010820,0.006,0.7,0.003,0.048,31,22
"111123",2018010821,0.006,0.8,0.01,0.035,35,26
"111123",2018010822,0.006,0.6,0.03,0.015,50,31
"111123",2018010823,0.006,0.6,0.032,0.015,50,34
"111123",2018010824,0.006,0.6,0.033,0.014,47,31
"111123",2018010901,0.005,0.5,0.034,0.012,44,28
"111123",2018010902,0.005,0.5,0.033,0.011,38,23
"111123",2018010903,0.005,0.5,0.031,0.011,34,21
"111123",2018010904,0.005,0.5,0.031,0.01,34,20
"111123",2018010905,0.006,0.4,0.031,0.009,36,20
"111123",2018010906,0.007,0.4,0.028,0.013,38,17
"111123",2018010907,0.006,0.5,0.018,0.022,39,16
"111123",2018010908,0.006,0.5,0.012,0.031,39,18
"111123",2018010909,0.005,0.5,0.014,0.031,44,19
"111123",2018010910,0.007,0.6,0.012,0.032,44,20
"111123",2018010911,0.007,0.5,0.022,0.022,44,20
"111123",2018010912,0.007,0.5,0.021,0.027,41,19
"111123",2018010913,0.007,0.5,0.027,0.017,33,18
"111123",2018010914,0.007,0.5,0.025,0.021,35,19
"111123",2018010915,0.006,0.5,0.023,0.025,33,19
"111123",2018010916,0.006,0.4,0.024,0.02,31,15
"111123",2018010917,0.006,0.5,0.02,0.026,35,15
"111123",2018010918,0.005,0.5,0.017,0.028,32,16
"111123",2018010919,0.005,0.5,0.019,0.025,30,18
"111123",2018010920,0.006,0.6,0.016,0.028,31,18
"111123",2018010921,0.006,0.6,0.019,0.024,29,18
"111123",2018010922,0.006,0.5,0.017,0.027,24,14
"111123",2018010923,0.005,0.5,0.019,0.026,24,15
"111123",2018010924,0.005,0.5,0.019,0.024,21,11
"111123",2018011001,0.005,0.4,0.021,0.019,22,10
"111123",2018011002,0.005,0.4,0.029,0.014,16,8
"111123",2018011003,0.005,0.3,0.031,0.01,11,7
"111123",2018011004,0.005,0.3,0.03,0.01,12,8
"111123",2018011005,0.005,0.3,0.027,0.013,14,7
"111123",2018011006,0.005,0.4,0.017,0.023,17,10
"111123",2018011007,0.005,0.4,0.02,0.02,18,11
"111123",2018011008,0.006,0.4,0.016,0.023,25,14
"111123",2018011009,0.006,0.5,0.012,0.028,31,19
"111123",2018011010,0.007,0.6,0.014,0.03,41,19
"111123",2018011011,0.007,0.6,0.019,0.022,48,20
"111123",2018011012,0.007,0.6,0.021,0.018,52,18
"111123",2018011013,0.007,0.5,0.025,0.013,48,14
"111123",2018011014,0.006,0.5,0.023,0.019,38,11
"111123",2018011015,0.006,0.4,0.025,0.019,37,12
"111123",2018011016,0.006,0.4,0.024,0.02,28,11
"111123",2018011017,0.005,0.4,0.022,0.021,26,12
