date,month,avg_temp
2017-01-01,1,2.7
2017-01-02,1,5
2017-01-03,1,2
2017-01-04,1,3.9
2017-01-05,1,3.8
2017-01-06,1,5.4
2017-01-07,1,4.6
2017-01-08,1,6.5
2017-01-09,1,1.5
2017-01-10,1,-3.7
2017-01-11,1,-3.8
2017-01-12,1,-2.2
2017-01-13,1,-6
2017-01-14,1,-8.4
2017-01-15,1,-6.6
2017-01-16,1,-3.8
2017-01-17,1,-2
2017-01-18,1,-0.5
2017-01-19,1,-1.2
2017-01-20,1,-4.4
2017-01-21,1,-5.2
2017-01-22,1,-8.3
2017-01-23,1,-8.9
2017-01-24,1,-7
2017-01-25,1,-5.2
2017-01-26,1,-1.3
2017-01-27,1,-2.6
2017-01-28,1,-1.6
2017-01-29,1,0.8
2017-01-30,1,-4.8
2017-01-31,1,-5.4
2017-02-01,2,-4
2017-02-02,2,-2.7
2017-02-03,2,1.5
2017-02-04,2,0.9
2017-02-05,2,1.2
2017-02-06,2,-1.7
2017-02-07,2,-2
2017-02-08,2,-2.2
2017-02-09,2,-5.3
2017-02-10,2,-6.6
2017-02-11,2,-4.8
2017-02-12,2,-2.2
2017-02-13,2,0.1
2017-02-14,2,0.3
2017-02-15,2,1.8
2017-02-16,2,5.5
2017-02-17,2,0.8
2017-02-18,2,-2.6
2017-02-19,2,2.3
2017-02-20,2,-1.5
2017-02-21,2,-0.6
2017-02-22,2,1.7
2017-02-23,2,-1.5
2017-02-24,2,-0.8
2017-02-25,2,2.6
2017-02-26,2,3.6
2017-02-27,2,3.7
2017-02-28,2,5.6
2017-03-01,3,5
2017-03-02,3,1.8
2017-03-03,3,3.3
2017-03-04,3,5.7
2017-03-05,3,5.2
2017-03-06,3,0.1
2017-03-07,3,-1.3
2017-03-08,3,-0.1
2017-03-09,3,3.2
2017-03-10,3,4.8
2017-03-11,3,7.3
2017-03-12,3,8.2
2017-03-13,3,6.9
2017-03-14,3,5.8
2017-03-15,3,6.3
2017-03-16,3,6.2
2017-03-17,3,7.7
2017-03-18,3,9.5
2017-03-19,3,10.9
2017-03-20,3,10.2
2017-03-21,3,7.4
2017-03-22,3,7.6
2017-03-23,3,9.1
2017-03-24,3,8.7
2017-03-25,3,8.1
2017-03-26,3,7.3
2017-03-27,3,6.1
2017-03-28,3,7.1
2017-03-29,3,8.8
2017-03-30,3,10.6
2017-03-31,3,8.6
2017-04-01,4,9
2017-04-02,4,9
2017-04-03,4,11.4
2017-04-04,4,14.1
2017-04-05,4,12
2017-04-06,4,10.4
2017-04-07,4,14.5
2017-04-08,4,13
2017-04-09,4,14.8
2017-04-10,4,16.5
2017-04-11,4,15.3
2017-04-12,4,11.5
2017-04-13,4,12.7
2017-04-14,4,13
2017-04-15,4,16.8
2017-04-16,4,18.7
2017-04-17,4,14.7
2017-04-18,4,11.7
2017-04-19,4,12.6
2017-04-20,4,12.9
2017-04-21,4,13.1
2017-04-22,4,14.8
2017-04-23,4,14.9
2017-04-24,4,15.1
2017-04-25,4,16
2017-04-26,4,15.1
2017-04-27,4,13.6
2017-04-28,4,14.4
2017-04-29,4,17.1
2017-04-30,4,19.3
2017-05-01,5,20.1
2017-05-02,5,20.7
2017-05-03,5,21.5
2017-05-04,5,21
2017-05-05,5,20.9
2017-05-06,5,14.9
2017-05-07,5,16.6
2017-05-08,5,17.9
2017-05-09,5,17.1
2017-05-10,5,16.4
2017-05-11,5,19.3
2017-05-12,5,19.1
2017-05-13,5,16.4
2017-05-14,5,15.7
2017-05-15,5,16
2017-05-16,5,17.1
2017-05-17,5,18.6
2017-05-18,5,20.4
2017-05-19,5,21.1
2017-05-20,5,20.9
2017-05-21,5,21.5
2017-05-22,5,21.8
2017-05-23,5,20
2017-05-24,5,21.8
2017-05-25,5,19.2
2017-05-26,5,17.7
2017-05-27,5,19.5
2017-05-28,5,21.2
2017-05-29,5,22.9
2017-05-30,5,23.6
2017-05-31,5,23.3
2017-06-01,6,23.3
2017-06-02,6,20.5
2017-06-03,6,20.5
2017-06-04,6,21.7
2017-06-05,6,24.2
2017-06-06,6,19.4
2017-06-07,6,17.6
2017-06-08,6,20.1
2017-06-09,6,21.2
2017-06-10,6,21.5
2017-06-11,6,22.8
2017-06-12,6,22.1
2017-06-13,6,21.5
2017-06-14,6,21.8
2017-06-15,6,23.1
2017-06-16,6,25.5
2017-06-17,6,24.2
2017-06-18,6,24.3
2017-06-19,6,24.8
2017-06-20,6,26
2017-06-21,6,25.4
2017-06-22,6,25.3
2017-06-23,6,26.7
2017-06-24,6,24.5
2017-06-25,6,23.8
2017-06-26,6,23.1
2017-06-27,6,25.2
2017-06-28,6,26
2017-06-29,6,26.2
2017-06-30,6,25.9
2017-07-01,7,25.3
2017-07-02,7,24.3
2017-07-03,7,24.7
2017-07-04,7,26.7
2017-07-05,7,27.4
2017-07-06,7,27.6
2017-07-07,7,26.4
2017-07-08,7,26
2017-07-09,7,26.3
2017-07-10,7,24
2017-07-11,7,26
2017-07-12,7,27.1
2017-07-13,7,27.6
2017-07-14,7,28.7
2017-07-15,7,25
2017-07-16,7,26.2
2017-07-17,7,26.8
2017-07-18,7,26.5
2017-07-19,7,28.3
2017-07-20,7,29.9
2017-07-21,7,29.8
2017-07-22,7,29.3
2017-07-23,7,27
2017-07-24,7,26.2
2017-07-25,7,29.4
2017-07-26,7,28.7
2017-07-27,7,27.1
2017-07-28,7,25.5
2017-07-29,7,27.2
2017-07-30,7,27.9
2017-07-31,7,25.7
2017-08-01,8,28.6
2017-08-02,8,30
2017-08-03,8,30.2
2017-08-04,8,30.3
2017-08-05,8,31.4
2017-08-06,8,29.8
2017-08-07,8,29.2
2017-08-08,8,28.2
2017-08-09,8,27.6
2017-08-10,8,24.8
2017-08-11,8,27
2017-08-12,8,27.8
2017-08-13,8,26.3
2017-08-14,8,24.6
2017-08-15,8,21.9
2017-08-16,8,23.3
2017-08-17,8,24.8
2017-08-18,8,26.3
2017-08-19,8,26.1
2017-08-20,8,23.2
2017-08-21,8,25.8
2017-08-22,8,27.3
2017-08-23,8,27.2
2017-08-24,8,26.5
2017-08-25,8,25.3
2017-08-26,8,24.2
2017-08-27,8,22.7
2017-08-28,8,21.5
2017-08-29,8,19.5
2017-08-30,8,19.8
2017-08-31,8,22.2
2017-09-01,9,23.3
2017-09-02,9,23.8
2017-09-03,9,23.7
2017-09-04,9,24.6
2017-09-05,9,21.9
2017-09-06,9,20.6
2017-09-07,9,22.4
2017-09-08,9,24.3
2017-09-09,9,23.8
2017-09-10,9,23
2017-09-11,9,21.2
2017-09-12,9,22.1
2017-09-13,9,21.4
2017-09-14,9,22.4
2017-09-15,9,22.6
2017-09-16,9,22
2017-09-17,9,23.1
2017-09-18,9,21.9
2017-09-19,9,22.6
2017-09-20,9,19.5
2017-09-21,9,20.3
2017-09-22,9,20.6
2017-09-23,9,21.8
2017-09-24,9,22.4
2017-09-25,9,23.4
2017-09-26,9,25.1
2017-09-27,9,22.7
2017-09-28,9,19.2
2017-09-29,9,17.4
2017-09-30,9,20
2017-10-01,10,18.2
2017-10-02,10,22
2017-10-03,10,17.6
2017-10-04,10,16.7
2017-10-05,10,18.7
2017-10-06,10,18.9
2017-10-07,10,21.9
2017-10-08,10,23
2017-10-09,10,22.5
2017-10-10,10,21.4
2017-10-11,10,15.5
2017-10-12,10,11.4
2017-10-13,10,12.8
2017-10-14,10,14.4
2017-10-15,10,15.8
2017-10-16,10,16.6
2017-10-17,10,16.2
2017-10-18,10,16.5
2017-10-19,10,17
2017-10-20,10,17
2017-10-21,10,17.6
2017-10-22,10,16.3
2017-10-23,10,13.7
2017-10-24,10,14.4
2017-10-25,10,14.4
2017-10-26,10,14.5
2017-10-27,10,16.9
