"","vtitle","vpoint","vreview"
"1","미나리","10","따뜻해지고 여운이 남는 영화였습니다. 미국땅 어느 작은 숲속에서도 잘 자라는 한국 미나리처럼 우리나라 사람들도 어디서든 잘 살아남길 바라봅니다."
"2","이웃사촌","1","개보다 못한 쓰 레 기 영 화 !!!  구역질나는 좌빨들이 정권잡고 하는 짓 봐라 !!!  미화도 작작해야지 거부감이 생기는 더러운 쓰레기 영화 !!!"
"3","미나리","10","꼭보세요 너무 잘만든 영화같아요"
"4","미나리","5","전혀.... 아니올시다."
"5","미나리","8","미국 수맥찾는법 확인가능함. 장비 국내와 유사한걸로 밝혀져."
"6","판도라","10",""
"7","미나리","10","계속 불안한 느낌의 연출, 배우들 연기 다 좋았습니다♡"
"8","미나리","10","국어 교과서에 실려도 이상하지 않을 영화"
"9","미나리","10","아파하며 뿌리내린 나무의 이야기"
"10","극장판 귀멸의 칼날: 무한열차편","1","보고 다시 이야기하겠음"
