"","bookthumburl","booktitle"
"1","https://bookthumb-phinf.pstatic.net/cover/177/589/17758998.jpg?type=m106&udate=20210305","주린이가 가장 알고싶은 최다질문 T.."
"2","https://bookthumb-phinf.pstatic.net/cover/164/054/16405427.jpg?type=m106&udate=20210305","달러구트 꿈 백화점"
"3","https://bookthumb-phinf.pstatic.net/cover/174/700/17470063.jpg?type=m106&udate=20210305","광고의 8원칙"
"4","https://bookthumb-phinf.pstatic.net/cover/166/250/16625049.jpg?type=m106&udate=20210305","좋은 사람에게만 좋은 사람이면 돼"
"5","https://bookthumb-phinf.pstatic.net/cover/168/528/16852884.jpg?type=m106&udate=20210305","2030 축의 전환"
"6","https://bookthumb-phinf.pstatic.net/cover/168/943/16894345.jpg?type=m106&udate=20210305","공정하다는 착각"
"7","https://bookthumb-phinf.pstatic.net/cover/177/093/17709320.jpg?type=m106&udate=20210305","모래알만 한 진실이라도"
"8","https://bookthumb-phinf.pstatic.net/cover/180/314/18031488.jpg?type=m106&udate=20210305","던전앤파이터 15주년공식 아트북 - 전2권"
"9","https://bookthumb-phinf.pstatic.net/cover/167/104/16710402.jpg?type=m106&udate=20210305","안녕, 소중한 사람"
"10","https://bookthumb-phinf.pstatic.net/cover/179/840/17984092.jpg?type=m106&udate=20210305","빌 게이츠, 기후 재앙을 피하는 법"
