"","title","point","review"
"1","완벽한 타인","9","내 안에 있는 타인과내가 바깥으로 대하는 타인그리고 나를 바라보는 타인의 두가지 시선 때로는 감추고 포장해야 관계는 평화로울 수 있다"
"2","명탐정 코난: 진홍의 수학여행","8","죽은사람이 불쌍하군영"
"3","노아","1","성경에 나온 노아가 아닌대?싸이코 패스 인줄...차라리 판타지할거면 좀 멋드러지게 하던가..심하다"
"4","미나리","2","재미없어요기다리다가 개봉  동시에 예약하고 보러갔는데기대이하 지겨웠어요"
"5","이미테이션 게임","8","어떤 위대한 업적을 이뤄낸 사람들의 공통점일까? 정말 평범한 열정이 아니라고 생각한다. 사람 자체로도 특이하고 유별나긴 했지만 무언가를 향한 그 집념과 끈기에서 특히 더 두드러졌다고 생각한다. 특히 지금의 나와 연결지을 수 있어서일까. 그 부분에서 참 나를 부끄럽게 했다. 지금의 나는 목표를 향해 나아가는데 있어서 저런 열정 하나 없다. 남들보다도 덜 열심히 하면서 내가 뭘 해낼 수 있을까 싶어서 반성하고 반성한다."
"6","라스트 레터","10","그는 이제 첫사랑을 보내줄 수 있게 된 듯 하다"
"7","극장판 귀멸의 칼날: 무한열차편","10","그냥 말해뭐해,,,,"
"8","아이","10","재밌는데 슬퍼요ㅜㅜ 모두들 화이팅!!"
"9","미나리","6","겪어보지 않은 일이라도 영화는 공감을 이끌어 낼 수 있다. 하지만, 나에겐 넘 어려운 문제였다.할머니와 데이빗의 상황에서 눈물이 나는 코드도 있었지만 크게 감동적인 영화라고 보긴 어려웠다.그냥 짧은 시를 한 편 읽은 듯한 느낌이 든다."
"10","극장판 귀멸의 칼날: 무한열차편","10","너무 재밌다 근데 슬프다 ㅜㅜ"
"11","미나리","10","화면이 예쁘고 가족감성이라 좋네요"
"12","미나리","10","물과 미나리, 그 메타포가 좋다"
"13","미나리","8","한국사람이라면 누구든 공감할만한..그러나 쉽게 기억 못하는 추억."
"14","PMC: 더 벙커","1","별 반개도 아까운 영화. 문재인스럽다."
"15","노스바스의 추억","5","눈 덮인 마을에 노년의 인생. 소소한 소재와 복선에 의아한 고평가. 멜라니 그리피스는 왜 굳이 아름다운 상체를 드러내나. 총만 안 들었지 올드한 웨스턴의 향취가 남은 서사."
"16","미나리","10","따뜻해지고 여운이 남는 영화였습니다. 미국땅 어느 작은 숲속에서도 잘 자라는 한국 미나리처럼 우리나라 사람들도 어디서든 잘 살아남길 바라봅니다."
"17","이웃사촌","1","개보다 못한 쓰 레 기 영 화 !!!  구역질나는 좌빨들이 정권잡고 하는 짓 봐라 !!!  미화도 작작해야지 거부감이 생기는 더러운 쓰레기 영화 !!!"
"18","미나리","10","꼭보세요 너무 잘만든 영화같아요"
"19","미나리","5","전혀.... 아니올시다."
"20","미나리","8","미국 수맥찾는법 확인가능함. 장비 국내와 유사한걸로 밝혀져."
"21","미나리","8","억지 신파가 아닌 담담한 연출로도 충분한 감동"
"22","그녀를 보기만 해도 알 수 있는 것","4","걍~ 본능에 충실한... 부럽! ;;;"
"23","미나리","6","잔잔한감동이 있고 돈보다 가족이우선이라는 뭔가 울림이있네요~윤여정씨의 아픈연기는 정말대단해요~데이빗손주와 외할머니의 케미가 돋보였습니다"
"24","#살아있다","2","10원도 아깝다곸ㅋㅋㅋ진짜 유아인 박신혜도 한창 반등해야할 나이인데, 무슨 자신감과 안목으로 차기작을 고르는건지 이해1도 0.01도 안됨"
"25","소울","10","답답한 현실을 웃으면서 사는 방법에 관한 영화임"
"26","극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람","2","기대하고 봤더니 실망만 했습니다. 스토리 연출이 아주 개판"
"27","미나리","8","저의 눈물을 자극할 정도로 감동적이었어요. 마지막에 데이빗이 할머니한테 달려갈 때 제일 좋았어요. 해피엔딩이었으면 더 좋았을 것 같아요!"
"28","라스트 레터","10","배우들 연기도 좋았고 스토리도 이정도면 나름 만족해요!!다 보고 나서 여운이 오래가네요...."
"29","미나리","10","다른거 다 모르겠고!감독 센스가 대단함! 이건 감독 능력임!영화가 세련됐음!이런 스토리를 이렇게 아름답게 풀다니...보는 내내 영상이 너무 아름답고...음악도 너무 아름다움"
"30","미나리","10","한예리 배우님 연기 정말 훌륭하십니다"
