"","vtitle","vpoint","vreview"
"1","승리호","10","따뜻해지고 여운이 남는 영화였습니다. 미국땅 어느 작은 숲속에서도 잘 자라는 한국 미나리처럼 우리나라 사람들도 어디서든 잘 살아남길 바라봅니다."
"2","미션 파서블","1","개보다 못한 쓰 레 기 영 화 !!!  구역질나는 좌빨들이 정권잡고 하는 짓 봐라 !!!  미화도 작작해야지 거부감이 생기는 더러운 쓰레기 영화 !!!"
"3","이스케이프 플랜3","10","꼭보세요 너무 잘만든 영화같아요"
"4","극장판 귀멸의 칼날: 무한열차편","5","전혀.... 아니올시다."
"5","승리호","8","미국 수맥찾는법 확인가능함. 장비 국내와 유사한걸로 밝혀져."
"6","톰과 제리","10",""
"7","명량","10","계속 불안한 느낌의 연출, 배우들 연기 다 좋았습니다♡"
"8","명량","10","국어 교과서에 실려도 이상하지 않을 영화"
"9","명량","10","아파하며 뿌리내린 나무의 이야기"
"10","극장판 귀멸의 칼날: 무한열차편","1","보고 다시 이야기하겠음"
"11","승리호","10","말이 필요없는 배우들의 연기..다시 한번 엄지 척!"
"12","미션 파서블","10","따뜻한 가족 이야기 윤여정 한예리 아카데미연기상 기원합니다 주제가도 좋아요먹먹하게 가슴으로 안아주는 할머니의  따뜻한사랑"
"13","이스케이프 플랜3","10","유포터블 애니는 진리다"
"14","극장판 귀멸의 칼날: 무한열차편","9","마지막이 정말 재밌었어요 그 앞까지는 그닥!"
"15","승리호","1","충격과 공포였읍니다 홍콩독립 만세"
"16","톰과 제리","2","이 영화를 보고 잘 만들었다고 질질 짜는 애들은 눈과 귀와 머리가 터져버린애들일 것이다. 이 영화는 공감이 1도 안되는 여자와 그 여자가 벌이는 범죄극을 그렸을 뿐 아무것도 없다."
"17","명량","10","난데없이 눈물이 나네.중간중간 웃음포인트도 있고연기력이 좋아서 몰입이 잘  됨."
"18","명량","10",""
"19","명량","9","내 안에 있는 타인과내가 바깥으로 대하는 타인그리고 나를 바라보는 타인의 두가지 시선 때로는 감추고 포장해야 관계는 평화로울 수 있다"
"20","극장판 귀멸의 칼날: 무한열차편","8","죽은사람이 불쌍하군영"
"21","승리호","1","성경에 나온 노아가 아닌대?싸이코 패스 인줄...차라리 판타지할거면 좀 멋드러지게 하던가..심하다"
"22","미션 파서블","2","재미없어요기다리다가 개봉  동시에 예약하고 보러갔는데기대이하 지겨웠어요"
"23","이스케이프 플랜3","8","어떤 위대한 업적을 이뤄낸 사람들의 공통점일까? 정말 평범한 열정이 아니라고 생각한다. 사람 자체로도 특이하고 유별나긴 했지만 무언가를 향한 그 집념과 끈기에서 특히 더 두드러졌다고 생각한다. 특히 지금의 나와 연결지을 수 있어서일까. 그 부분에서 참 나를 부끄럽게 했다. 지금의 나는 목표를 향해 나아가는데 있어서 저런 열정 하나 없다. 남들보다도 덜 열심히 하면서 내가 뭘 해낼 수 있을까 싶어서 반성하고 반성한다."
"24","극장판 귀멸의 칼날: 무한열차편","10","그는 이제 첫사랑을 보내줄 수 있게 된 듯 하다"
"25","승리호","10","그냥 말해뭐해,,,,"
"26","톰과 제리","10","재밌는데 슬퍼요ㅜㅜ 모두들 화이팅!!"
"27","명량","6","겪어보지 않은 일이라도 영화는 공감을 이끌어 낼 수 있다. 하지만, 나에겐 넘 어려운 문제였다.할머니와 데이빗의 상황에서 눈물이 나는 코드도 있었지만 크게 감동적인 영화라고 보긴 어려웠다.그냥 짧은 시를 한 편 읽은 듯한 느낌이 든다."
"28","명량","10","너무 재밌다 근데 슬프다 ㅜㅜ"
"29","명량","8","방금 영화보고 집에오자마자 티비 켰는데 윤스테이에 나오시는 윤여정 배우님 보고 왜 눈물 나냐구요 ㅠㅠ여운남아요ㅠㅠ"
"30","극장판 귀멸의 칼날: 무한열차편","10","최고다 진짜눈물이 흐르네요"
"31","승리호","10",""
"32","미션 파서블","8","제목만 보면 몬스터에 대한 영화일것 같지만 전혀 그렇지 않아서 반전이었고 남주의 연기와 스토리, 연출 정말 너무 다 좋은 영화였습니다. 더군다나 암환자의 가족이라면 한번쯤은 생각을 해봤을 그런 생각들이나 마음들 그리고 숨기고 싶었던 내면들이 영화를 통해서 보여지니 공감이 되어 가슴이 더 뭉클해지네요...이 영화 일반인이 볼때에는 어떨지 모르지만 가족중에 아픈사람이 있는 분들이 보게된다면 마지막 스토리에서 큰 슬픔을 안겨줍니다..."
"33","이스케이프 플랜3","10","영화 진짜 좋았어요! 따뜻했고 슬펐고...할머니생각 엄마 아빠 생각 동생들하고 함께 자랄때 느꼈던 감정들까지 다 생각나서 미처 다 울지못하고 나온 기분이에요~많이 지쳐있던 마음이 풀어진다고 할까요? 다들 거리두기하고 마스크잘쓰고 극장에서 꼭 보셨으면 좋겠어요"
"34","극장판 귀멸의 칼날: 무한열차편","8","가족들은 결국 서로를 구했다"
"35","승리호","10","동석이 형님 트와이스 춤추는 장면때 진짜 숨넘어갈뻔 했어요 ㅎ"
"36","톰과 제리","10","미국의 느낌에 한국의 정서가 스며든 듯한 영화였습니다."
"37","명량","10","처음 써보는 감상평입니다배우들의 연기는 단연 최고였고감독님의 섬세한 연출또한 최고인 영화가슴으로부터 감동이 올라오는 영화입니다안보신 분들 꼭 보시기를!! 감독님의 신작이 나오면 꼭 보겠습니다"
