"순서","시군구코드","하천/호수일련번호","하천/호수명_한글","하천/호수명_영문","위도","경도"
"32","11260","7"," "," ","37.6115278","127.0735427"
"33","11305","10"," "," ","37.6404911","127.0070294"
"34","11740","18"," "," ","37.552968","127.1467481"
"35","11740","26"," "," ","37.5233602","127.1447257"
"36","11110","13"," "," ","37.5728762","126.994545"
"2","11380","13"," "," ","37.6509134","126.9476382"
"4","11380","21"," "," ","37.641568","126.9317896"
"5","11380","22"," "," ","37.6414505","126.9318401"
"10","11260","8"," "," ","37.6114725","127.0736349"
"18","11740","1","고덕천"," ","37.553192","127.1727447"
"21","11305","14"," "," ","37.6340537","127.0192826"
"24","11110","19","구기천"," ","37.6102003","126.956765"
"26","11380","10"," "," ","37.6519299","126.9403258"
"27","11380","14"," "," ","37.6507037","126.9466344"
"29","11530","17"," "," ","37.4834953","126.8232478"
"37","11680","26","탄천"," ","37.4889952","127.0945805"
"30","11530","14"," "," ","37.4843405","126.8197611"
"53","11110","17","홍제천"," ","37.6002645","126.9595664"
"54","11305","5"," "," ","37.6488775","127.0080021"
"59","11305","6"," "," ","37.6482262","127.007949"
"64","11380","7"," "," ","37.6526198","126.9422487"
"71","11380","20"," "," ","37.6427789","126.9316049"
"74","11530","18"," "," ","37.4840933","126.8529988"
"76","11530","11"," "," ","37.4885329","126.8536238"
"77","11530","13"," "," ","37.4850501","126.8202723"
"79","11380","30"," "," ","37.5845242","126.8894648"
"81","11110","9"," "," ","37.5816839","126.9929269"
"82","11110","12"," "," ","37.5737605","126.9940842"
"38","11320","4"," "," ","37.6864705","127.0382654"
"40","11320","9","중랑천"," ","37.6715659","127.0522757"
"41","11320","10","우이천"," ","37.6466763","127.0280707"
"42","11230","14","중랑천","Jungnangcheon","37.5838443","127.0741181"
"43","11260","4"," "," ","37.614582","127.0895566"
"45","11740","23"," "," ","37.5407763","127.13728"
"47","11230","11","하천"," ","37.5743745","127.0293672"
"50","11740","12"," "," ","37.5620488","127.1422704"
"52","11500","19"," "," ","37.58227","126.8272219"
"55","11305","13"," "," ","37.6371516","127.0080128"
"56","11110","11"," "," ","37.5781866","126.9989979"
"57","11320","7"," "," ","37.6593971","127.0209484"
"58","11230","10","하천"," ","37.5825972","127.0669181"
"60","11590","2","하천"," ","37.511713","126.9406592"
"61","11590","3","하천"," ","37.5117027","126.9407356"
"62","11380","2","창릉천"," ","37.6580342","126.9285863"
"63","11380","3"," "," ","37.6548852","126.9519343"
"65","11530","1","개봉천"," ","37.4742118","126.8480687"
"66","11530","2"," "," ","37.5107821","126.8845799"
"67","11530","3"," "," ","37.5094628","126.8834836"
"68","11530","5"," "," ","37.5018583","126.8258972"
"69","11530","8","순원저수지"," ","37.4963058","126.8857252"
"70","11380","19"," "," ","37.6428099","126.9316119"
"72","11380","28"," "," ","37.6011918","126.9140877"
"73","11380","29"," "," ","37.5923135","126.8853422"
"75","11380","11"," "," ","37.6515947","126.944854"
"39","11320","8"," "," ","37.6533591","127.0131169"
"44","11740","16"," "," ","37.5599096","127.1692873"
"46","11110","8"," "," ","37.5818112","126.9950081"
"48","11230","13","정릉천","Jeongneungcheon","37.5933977","127.039892"
