기간,자치구,합계,계(개),인도(주인),입양분양,폐사안락사,계류기증,,,,,
2003,합계,"7,389","5,085",143,644,"2,401","1,897",,,,,
2003,종로구,153,107,1,29,24,53,,,,,
2003,중구,187,103,1,5,52,45,,,,,
2003,용산구,233,130,0,12,73,45,,,,,
2003,성동구,127,119,3,0,33,83,,,,,
2003,광진구,350,210,1,8,84,117,,,,,
2003,동대문구,131,98,17,0,80,1,,,,,
2003,중랑구,380,223,3,11,96,113,,,,,
2003,성북구,306,224,0,0,52,172,,,,,
2003,강북구,156,117,2,7,67,41,,,,,
2003,도봉구,294,217,7,11,139,60,,,,,
2003,노원구,286,210,13,7,134,56,,,,,
2003,은평구,473,397,25,281,78,13,,,,,
2003,서대문구,297,172,9,10,84,69,,,,,
2003,마포구,269,202,4,5,156,37,,,,,
2003,양천구,370,239,7,8,123,101,,,,,
2003,강서구,557,437,5,23,269,140,,,,,
2003,구로구,241,178,2,9,117,50,,,,,
2003,금천구,126,92,1,5,17,69,,,,,
2003,영등포구,348,253,18,160,62,13,,,,,
2003,동작구,396,266,2,11,55,198,,,,,
2003,관악구,394,272,9,14,157,92,,,,,
2003,서초구,218,143,4,8,49,82,,,,,
2003,강남구,310,160,5,3,108,44,,,,,
2003,송파구,417,255,2,8,125,120,,,,,
2003,강동구,370,261,2,9,167,83,,,,,
2004,합계,"15,688","12,827",375,"1,167","7,239","4,046",,,,,
2004,종로구,311,242,13,1,156,72,,,,,
2004,중구,326,249,2,10,162,75,,,,,
2004,용산구,389,312,2,6,223,81,,,,,
2004,성동구,417,347,5,4,206,132,,,,,
2004,광진구,895,713,20,8,470,215,,,,,
2004,동대문구,317,234,5,9,167,53,,,,,
2004,중랑구,774,546,0,20,241,285,,,,,
2004,성북구,698,545,6,0,96,443,,,,,
2004,강북구,574,485,7,7,326,145,,,,,
2004,도봉구,601,528,12,5,381,130,,,,,
2004,노원구,514,438,24,4,261,149,,,,,
2004,은평구,938,846,40,657,143,6,,,,,
2004,서대문구,669,512,11,8,284,209,,,,,
2004,마포구,569,506,14,33,281,178,,,,,
2004,양천구,810,695,22,6,459,208,,,,,
2004,강서구,"1,117","1,006",22,15,694,275,,,,,
2004,구로구,559,444,7,6,333,98,,,,,
2004,금천구,296,253,7,1,112,133,,,,,
2004,영등포구,555,409,11,6,244,148,,,,,
2004,동작구,725,607,11,7,454,135,,,,,
2004,관악구,883,753,23,9,501,220,,,,,
2004,서초구,449,338,6,7,143,182,,,,,
2004,강남구,734,556,64,320,50,122,,,,,
2004,송파구,926,696,25,9,457,205,,,,,
2004,강동구,642,567,16,9,395,147,,,,,
2005,합계,"17,577","14,679",601,525,"7,736","5,817",,,,,
2005,종로구,368,258,12,3,89,154,,,,,
2005,중구,359,264,0,9,102,153,,,,,
2005,용산구,463,383,12,12,170,189,,,,,
2005,성동구,517,431,19,7,96,309,,,,,
2005,광진구,931,788,47,16,290,435,,,,,
2005,동대문구,411,375,8,14,160,193,,,,,
2005,중랑구,796,658,27,17,591,23,,,,,
2005,성북구,691,564,19,10,148,387,,,,,
2005,강북구,659,576,22,11,521,22,,,,,
2005,도봉구,623,556,27,17,488,24,,,,,
2005,노원구,648,560,26,11,244,279,,,,,
2005,은평구,948,823,32,11,752,28,,,,,
2005,서대문구,786,596,24,7,146,419,,,,,
2005,마포구,631,557,17,5,529,6,,,,,
2005,양천구,949,843,28,12,767,36,,,,,
2005,강서구,"1,255","1,069",45,9,374,641,,,,,
2005,구로구,705,601,17,9,229,346,,,,,
2005,금천구,374,340,6,5,323,6,,,,,
2005,영등포구,700,588,16,8,268,296,,,,,
2005,동작구,784,679,26,11,616,26,,,,,
2005,관악구,863,717,25,16,240,436,,,,,
2005,서초구,490,359,19,7,77,256,,,,,
2005,강남구,821,581,48,277,89,167,,,,,
2005,송파구,975,791,38,16,195,542,,,,,
2005,강동구,830,722,41,5,232,444,,,,,
2006,합계,"16,106","11,423",666,695,"5,310","4,752",,,,,
2006,종로구,320,185,14,3,66,102,,,,,
2006,중구,270,148,7,3,29,109,,,,,
2006,용산구,556,296,13,6,96,181,,,,,
2006,성동구,398,303,14,8,269,12,,,,,
2006,광진구,849,637,33,14,188,402,,,,,
2006,동대문구,591,450,24,9,153,264,,,,,
2006,중랑구,694,510,28,25,442,15,,,,,
2006,성북구,708,506,29,8,160,309,,,,,
2006,강북구,591,490,24,13,441,12,,,,,
2006,도봉구,582,440,28,18,364,30,,,,,
