,spotname,tm_x,tm_y,lon,lat
0,성산로(금화터널),195489,452136,126.94683478468194,37.57150175818974
1,사직로(사직터널),196756.776106,452546.638644,126.96118373833599,37.575206983585204
2,자하문로(자하문터널),197216.855046,454350.990432,126.96638492780026,37.59146547388727
3,대사관로(삼청터널),198648.893154,455200.108465,126.98259781624132,37.59911920760468
4,율곡로(안국역),198645.671347,452937.216603,126.98256571488679,37.578730885349096
5,창경궁로(서울여자대학교),199825.89671,453668.322568,126.99592653239691,37.5853191106849
6,대학로(한국방송통신대학교),200185.014636,453144.745427,126.99999229477702,37.580601776986015
7,종로(동묘앞역),201515.783975,452624.900832,127.01505697132252,37.575916911026916
8,퇴계로(신당역),201850.055284,451769.96985,127.01883895466402,37.56821350143381
9,동호로(장충체육관),200633.487975,451010.051429,127.00506782769783,37.56136827579012
10,장충단로(장충단공원),200410,450804,127.00253826271847,37.55951188498004
11,퇴계로(회현역),197939.908023,450888.928346,126.97458186707534,37.56027469670519
12,세종대로(서울역),197727.33407,451006.009692,126.97217558802674,37.561329072635424
13,새문안로(서울역사박물관),197432.421007,452243.292862,126.96883328359844,37.572476054803104
14,종로(종로3가역),199240.067506,452288.413612,126.9892954643761,37.572885977968305
15,서소문로(시청역),197596.4694,451463.528762,126.97069290539388,37.56545092755197
16,세종대로(시청역2),197983.404032,452006.746671,126.97507098265856,37.570346212014414
17,을지로(을지로3가역),199025.306571,451837.790166,126.98686503457873,37.56882569828698
18,칠패로(숭례문),197579.482653,451141.212855,126.97050172830971,37.56254685166837
19,남산1호터널,200375.908853,448730.787276,127.00215154448343,37.54083243612394
20,남산2호터널,199098.824842,449434.634668,126.98770036973134,37.54717359178565
21,남산3호터널,198985.638133,449446.700998,126.98641953206845,37.54728218292432
22,소월로(회현역),197913,450842,126.9742774604054,37.55985181485057
23,소파로(숭의여자대학교),198564,450618,126.9816458771307,37.55783488760108
24,도봉로(도봉산역),203959,465826,127.04278532326538,37.694848779667424
25,동일로(의정부IC),204889.526551,465841.155869,127.05333609856207,37.694980907186384
26,아차산로(워커힐),209697.184721,450264.164859,127.10764212855624,37.55459776750329
27,망우로(망우리공원),210241.085553,455754.962803,127.1138737254212,37.604063177321734
28,경춘북로(중랑경찰서),209331.347572,457857.713789,127.10359794575398,37.62301814893127
29,화랑로(조선왕릉),208764,459019,127.09718515171869,37.633486620476326
30,북부간선도로(신내IC),209618,457126,127.10683543509244,37.616422630154034
31,서하남로(서하남IC),213005.890193,446398.999033,127.14501893702845,37.51973249787014
32,천호대로(상일IC),215469.587229,449773.571726,127.1729585437323,37.55009920811702
33,올림픽대로(강일IC),213894,452265,127.1551755416258,37.572571604357876
34,경부고속도로(양재IC),203414,440621,127.03649072853757,37.46775739306535
35,송파대로(복정역),211162.986746,441076.417571,127.1240921005048,37.47180018088266
36,밤고개로(세곡동사거리),209531,440360,127.1056339436855,37.465363391765074
37,분당-수서로(성남시계),210863,441329,127.12070457293527,37.474079502772945
38,과천대로(남태령역),198992.883246,440448.530816,126.98651462203057,37.46620888501398
39,양재대로(양재IC),203101,440084,127.03295036146442,37.46292008266235
40,반포대로(우면산터널),201006.172398,442700.15907,127.00927527566371,37.48649625007683
41,시흥대로(석수역),191458.931086,437292.624732,126.90138936954821,37.43773460703916
42,금오로(광명시계),186009.859895,442604.947339,126.83971654872585,37.48553201259177
43,오리로(광명시계),186105,442593,126.84079249062194,37.48542580920336
44,개봉로(개봉교),187302.087526,443031.264703,126.8543199271018,37.489391869350236
45,광명대교(광명시계),188799.726093,442845.631707,126.87125692576866,37.48773878840915
46,철산교(광명시계),189248.578812,441676.103787,126.87634927328973,37.477206711270355
47,금천교(광명시계),189776.878856,440585.948941,126.8823371392599,37.46739043330438
48,금하로(광명시계),190423.225984,439111.924802,126.88966267676741,37.45411639334744
49,오정로(부천시계),183158.839363,449254.914663,126.80732824129466,37.54539988909389
50,화곡로(화곡로입구),184478,448880,126.82226338121738,37.54204519167468
51,경인고속국도(신월IC),185181,447307,126.83024980839433,37.52788423935813
52,경인로(유한공고),184313.594374,443266.257648,126.82052334439184,37.49146304219914
53,신정로(작동터널),184448,445203,126.82200204495145,37.50891526343045
